Child,Parent,Change,Long.Name,li_a_XXX,li_b_XXX,C_XXX_T15,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,mum_XXX_T15,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX
MAK,FPL,0,Atlantic mackerel,0.0126,3.3,NA,0.01,0.05,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,NA,0.680750487,0.687231969,4.8226121,16.880116959,18.3232699805,20.3682017544,20.38265107,20.39,20.398235867,20.3994
HER,FPS,0,Atlantic herring,0.0115,2.9,NA,0.15,0.4,12,15,15,17,17,17,17,17,NA,3.374269,3.0323587,3.6023392,4.853801,5.3460039,5.4259259,6.46,6.4655214425,6.466381579,6.47
WHK,FVD,0,White hake,0.0126,3.2,NA,30,150,400,600,600,600,600,650,650,950,NA,2.0122319688,5.441033138,18.64327485,27.78216374,75.58479532,138.21832359,228.25536062,308.06367771,457.33024691,569
BLF,FVS,0,Bluefish,0.011,3,NA,30,60,105,180,250,250,815,815,815,815,NA,3.022904483,45.73927875,80.3079922,195.18810916,195.84161793,195.67300195,195.01803119,195.02339181,195.216374269,205
WPF,FVB,1,Windowpane flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
SUF,FVB,1,Summer flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
WIF,FVB,1,Winter flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
WTF,FVB,1,Witch flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
HAL,FVB,1,Atlantic halibut,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
PLA,FVB,1,American plaice,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
FOU,FVB,1,Fourspot flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
FLA,FVB,1,Other flatfish,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
BFT,FVT,1,Atlantic bluefin tuna,0.0214,2.96,NA,380,17000,28500,43000,44000,44000,44000,44000,44000,44000,NA,2.6666667,666.66666667,1266.66666667,3760.66666667,5796.66666667,8806.66666667,8836.66666667,8806.66666667,8816.66666667,8826.66666667
TUN,FVT,1,Other tunas,0.0214,2.96,NA,380,17000,28500,43000,44000,44000,44000,44000,44000,44000,NA,2.6666667,666.66666667,1266.66666667,3760.66666667,5796.66666667,8806.66666667,8836.66666667,8806.66666667,8816.66666667,8826.66666667
BIL,FVT,1,Billfish,0.0214,2.96,NA,380,17000,28500,43000,44000,44000,44000,44000,44000,44000,NA,2.6666667,666.66666667,1266.66666667,3760.66666667,5796.66666667,8806.66666667,8836.66666667,8806.66666667,8816.66666667,8826.66666667
MPF,FMM,0,Migratory mesopelagic fish ,0.011,3.01,NA,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA,0.030732943,0.01732943,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329
BUT,FBP,1,Butterfish,0.0116,3,NA,5.3,10.6,16.6,25.7,25.7,25.8,25.8,25.8,25.8,25.8,NA,0.8,1,1.2,1.7,1.9,2.1,2.2,2.9,2.9,2.9
ANC,FBP,1,Anchovies,0.0116,3,NA,5.3,10.6,16.6,25.7,25.7,25.8,25.8,25.8,25.8,25.8,NA,0.8,1,1.2,1.7,1.9,2.1,2.2,2.9,2.9,2.9
BPF,FBP,1,Other benthopelagic fish,0.0116,3,NA,5.3,10.6,16.6,25.7,25.7,25.8,25.8,25.8,25.8,25.8,NA,0.8,1,1.2,1.7,1.9,2.1,2.2,2.9,2.9,2.9
GOO,FDD,0,Monkfish,0.0107,2.91,NA,600,800,900,1600,1800,1900,2100,2200,2200,2200,NA,1.840253411,5.048245614,6.669103314,18.4288499,29.21052632,75.89668616,109.14327485,152.75584795,166.47051657,150
MEN,FDE,1,Atlantic menhaden,0.0123,3.2,NA,2.5,7.5,12,20.8,28.8,28.8,30.8,30.8,35,35,NA,6.030994152,9.30994152,9.511695906,9.3,9.289717349,9.315545809,9.315545809,9.5,9.521832359,9.59
FDE,FDE,1,Shallow demersal fish,0.0123,3.2,NA,2.5,7.5,12,20.8,28.8,28.8,30.8,30.8,35,35,NA,6.030994152,9.30994152,9.511695906,9.3,9.289717349,9.315545809,9.315545809,9.5,9.521832359,9.59
COD,FDS,0,Atlantic cod,0.0118,3.1,NA,50,250,850,1500,1800,2100,2100,2500,2600,2600,NA,2.76608187,33.82675439,78.98330897,155.83089669,252.43116472,305.03045809,305,304.36647173,310.18323587,315
SHK,FDB,0,Silver hake,0.0123,3.1,NA,5,130,160,150,150,180,125,128,130,130,NA,0.12551788499,2.34502924,3.130116959,6.878898635,15.06920078,28.33406433,44.060185185,45,46.873294347,47
OHK,FDC,1,Offshore hake,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
POL,FDC,1,Pollock,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
RHK,FDC,1,Red hake,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
BSB,FDC,1,Black sea bass,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
SCU,FDC,1,Scup,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
TYL,FDC,1,Tilefish,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
RED,FDC,1,Acadian redfish,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
OPT,FDC,1,Ocean pout,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
SAL,FDC,1,Atlantic salmon,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
DRM,FDC,1,Drums and croakers,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
STB,FDC,1,Striped bass,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
TAU,FDC,1,Tautog,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
WOL,FDC,1,Wolffish,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
SDF,FDC,1,Atlantic states demersal fish,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
FDF,FDC,0,Miscellaneous demersal fish,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
HAD,FDO,0,Haddock,0.0118,3.1,NA,5,15,25,70,105,105,105,105,150,150,NA,2.100146199,20.11208577,28.615984405,48.252802144,55.844176413,60.490862573,61.625852827,61.017300195,61,61.9
YTF,FDF,0,Yellowtail flounder,0.012,3.1,NA,2.5,7.5,15,17.8,18.8,19.8,20.8,21.8,22,22,NA,0.754386,2.863060429,5.584307992,7.75,11.23245614,15.656432749,15.391812865,15.324561404,15.762670565,15.5
DOG,SHB,0,Spiny dogfish,0.0129,3,NA,5,7.5,20,45,50,80,130,180,210,210,NA,0.5,10.5,25.5,80.5,270.5,320.5,460.5,520.5,520.5,520.5
SMO,SHD,1,Smooth dogfish,0.00396,3.2,NA,5,20,40,50,50,70,70,70,100,100,NA,1,9,10,15,15,20,20,20,20,20
SSH,SHD,1,Sandbar shark,0.00396,3.2,NA,5,20,40,50,50,70,70,70,100,100,NA,1,9,10,15,15,20,20,20,20,20
DSH,SHD,0,Other demersal sharks,0.00396,3.2,NA,5,20,40,50,50,70,70,70,100,100,NA,1,9,10,15,15,20,20,20,20,20
BLS,SHP,1,Blue shark,0.00524,3.141,NA,30,150,350,850,1450,1450,1850,1850,1850,1850,NA,3,52,300,1230.5,1550.5,1850.5,1850.5,1850.5,2550.5,2550.5
POR,SHP,1,Porbeagle shark,0.00524,3.141,NA,30,150,350,850,1450,1450,1850,1850,1850,1850,NA,3,52,300,1230.5,1550.5,1850.5,1850.5,1850.5,2550.5,2550.5
PSH,SHP,0,Other pelagic sharks,0.00524,3.141,NA,30,150,350,850,1450,1450,1850,1850,1850,1850,NA,3,52,300,1230.5,1550.5,1850.5,1850.5,1850.5,2550.5,2550.5
WSK,SSK,1,Winter skate,0.0127,3.1,NA,900,1080,1020,1040,1060,1070,1075,1080,2110,4210,NA,3,9,10,26,40,50,50,50,150,1500
LSK,SSK,1,Little skate,0.0127,3.1,NA,900,1080,1020,1040,1060,1070,1075,1080,2110,4210,NA,3,9,10,26,40,50,50,50,150,1500
SK,SSK,0,Northeast skate complex,0.0127,3.1,NA,900,1080,1020,1040,1060,1070,1075,1080,2110,4210,NA,3,9,10,26,40,50,50,50,150,1500
SB,SB,0,Seabirds,0.02,3,NA,8000,8000,8000,5000,5000,5000,4500,4000,3500,3000,NA,200,400,500,500,500,800,800,800,800,800
PIN,PIN,0,Pinnipeds,0.035,2.9,NA,25,1400,1400,1400,1200,1200,1000,1000,1000,1000,NA,100,500,500,500,500,500,500,500,500,500
REP,REP,0,Marine turtles,0.00396,3.004,NA,10,12,25,25,25,45,48,48,48,48,NA,10,150,100,100,100,150,205,205,205,205
RWH,WHB,1,Right whales,0.2,3,NA,5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,NA,2e+06,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000
BWH,WHB,1,Baleen whales,0.2,3,NA,5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,1.5e+07,NA,2e+06,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000
SWH,WHT,1,Small toothed whales,0.01,3,NA,6000,5000,5000,5000,8000,8000,8000,8000,8000,8000,NA,52000,18000,18000,18000,18000,18000,18000,18000,18000,18000
TWH,WHT,1,Toothed whales ,0.01,3,NA,6000,5000,5000,5000,8000,8000,8000,8000,8000,8000,NA,52000,18000,18000,18000,18000,18000,18000,18000,18000,18000
INV,FDC,1,Invasive vertebrate species,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
LSQ,CEP,1,Loligo squid,NA,NA,0.01455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISQ,CEP,1,Illex squid,NA,NA,0.01455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCA,BFS,0,Sea scallop,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QHG,BFF,1,Ocean quahog,NA,NA,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLA,BFF,1,Atlantic surf clam,NA,NA,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFF,BFF,1,Other benthic filter feeder,NA,NA,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BG,BG,0,Benthic grazer,NA,NA,7.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOB,BML,0,Lobster,NA,NA,6.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCB,BMS,1,Red deep-sea crab,NA,NA,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMS,BMS,0,Shallow macrozoobenthos,NA,NA,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSH,PWN,1,Northern shrimp other pandalids,NA,NA,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSH,PWN,1,Other shrimps,NA,NA,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZL,ZL,0,Carnivorous zooplankton,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD,BD,0,Deposit Feeder,NA,NA,5e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA,0,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MB,MB,0,Microphtybenthos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG,SG,0,Seagrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC,BC,0,Benthic Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZG,ZG,0,Gelatinous zooplankton,NA,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL,PL,0,Diatom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF,DF,0,Dinoflagellates,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS,PS,0,Pico-phytoplankton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZM,ZM,0,Mesozooplankton,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZS,ZS,0,Microzooplankton,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB,PB,0,Pelagic Bacteria,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB,BB,0,Sediment Bacteria,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO,BO,0,Meiobenthos,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL,DL,0,Labile detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DR,DR,0,Refractory detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DC,DC,0,Carrion3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
